date,name,category,value
2011-01-01,Egypt,Egypt,8
2011-01-01,Nigeria,Nigeria,2
2011-01-01,South Africa,South Africa,4
2012-01-01,Egypt,Egypt,7
2012-01-01,Morocco,Morocco,3
2012-01-01,Nigeria,Nigeria,2
2012-01-01,South Africa,South Africa,4
2014-01-01,Egypt,Egypt,4
2014-01-01,Morocco,Morocco,2
2014-01-01,Nigeria,Nigeria,3
2014-01-01,South Africa,South Africa,5
2015-01-01,Algeria,Algeria,1
2015-01-01,Angola,Angola,1
2015-01-01,Egypt,Egypt,8
2015-01-01,Morocco,Morocco,3
2015-01-01,Nigeria,Nigeria,5
2015-01-01,South Africa,South Africa,7
2015-01-01,Tanzania,Tanzania,2
2015-01-01,Uganda,Uganda,1
2016-01-01,Algeria,Algeria,1
2016-01-01,Angola,Angola,1
2016-01-01,Egypt,Egypt,6
2016-01-01,Morocco,Morocco,2
2016-01-01,Nigeria,Nigeria,5
2016-01-01,South Africa,South Africa,6
2016-01-01,Tanzania,Tanzania,1
2017-01-01,Algeria,Algeria,1
2017-01-01,Angola,Angola,1
2017-01-01,Egypt,Egypt,7
2017-01-01,Morocco,Morocco,3
2017-01-01,Nigeria,Nigeria,3
2017-01-01,South Africa,South Africa,8
2017-01-01,Tanzania,Tanzania,1
2018-01-01,Algeria,Algeria,1
2018-01-01,Angola,Angola,1
2018-01-01,Egypt,Egypt,6
2018-01-01,Morocco,Morocco,2
2018-01-01,Nigeria,Nigeria,3
2018-01-01,South Africa,South Africa,5
2018-01-01,Tanzania,Tanzania,1
2018-01-01,Zimbabwe,Zimbabwe,1
2020-01-01,Algeria,Algeria,1
2020-01-01,Angola,Angola,1
2020-01-01,Egypt,Egypt,6
2020-01-01,Morocco,Morocco,2
2020-01-01,Nigeria,Nigeria,3
2020-01-01,South Africa,South Africa,4
2020-01-01,Tanzania,Tanzania,1
2020-01-01,Zimbabwe,Zimbabwe,1
2021-01-01,Algeria,Algeria,1
2021-01-01,Egypt,Egypt,6
2021-01-01,Morocco,Morocco,2
2021-01-01,Nigeria,Nigeria,3
2021-01-01,South Africa,South Africa,5
2021-01-01,Tanzania,Tanzania,1
2021-01-01,Zimbabwe,Zimbabwe,1
2022-01-01,Algeria,Algeria,1
2022-01-01,Egypt,Egypt,6
2022-01-01,Morocco,Morocco,2
2022-01-01,Nigeria,Nigeria,3
2022-01-01,South Africa,South Africa,5
2022-01-01,Tanzania,Tanzania,1
2022-01-01,Zimbabwe,Zimbabwe,1
