date,name,category,value
2011-01-01,Egypt,Egypt,16
2011-01-01,Nigeria,Nigeria,15
2011-01-01,South Africa,South Africa,15
2012-01-01,Egypt,Egypt,14
2012-01-01,Morocco,Morocco,5
2012-01-01,Nigeria,Nigeria,15
2012-01-01,South Africa,South Africa,16
2013-01-01,Egypt,Egypt,14
2013-01-01,Morocco,Morocco,5
2013-01-01,Nigeria,Nigeria,15
2013-01-01,South Africa,South Africa,16
2014-01-01,Egypt,Egypt,12
2014-01-01,Morocco,Morocco,3
2014-01-01,Nigeria,Nigeria,31
2014-01-01,South Africa,South Africa,17
2015-01-01,Algeria,Algeria,3
2015-01-01,Angola,Angola,3
2015-01-01,Egypt,Egypt,21
2015-01-01,Morocco,Morocco,4
2015-01-01,Nigeria,Nigeria,22
2015-01-01,South Africa,South Africa,26
2015-01-01,Tanzania,Tanzania,2
2015-01-01,Uganda,Uganda,1
2016-01-01,Algeria,Algeria,3
2016-01-01,Angola,Angola,3
2016-01-01,Egypt,Egypt,11
2016-01-01,Morocco,Morocco,2
2016-01-01,Nigeria,Nigeria,28
2016-01-01,South Africa,South Africa,19
2016-01-01,Tanzania,Tanzania,1
2017-01-01,Algeria,Algeria,3
2017-01-01,Angola,Angola,3
2017-01-01,Egypt,Egypt,14
2017-01-01,Morocco,Morocco,3
2017-01-01,Nigeria,Nigeria,18
2017-01-01,South Africa,South Africa,24
2017-01-01,Tanzania,Tanzania,1
2018-01-01,Algeria,Algeria,4
2018-01-01,Angola,Angola,2
2018-01-01,Egypt,Egypt,15
2018-01-01,Morocco,Morocco,3
2018-01-01,Nigeria,Nigeria,20
2018-01-01,South Africa,South Africa,19
2018-01-01,Tanzania,Tanzania,1
2018-01-01,Zimbabwe,Zimbabwe,1
2019-01-01,Algeria,Algeria,4
2019-01-01,Angola,Angola,2
2019-01-01,Egypt,Egypt,15
2019-01-01,Morocco,Morocco,3
2019-01-01,Nigeria,Nigeria,20
2019-01-01,South Africa,South Africa,19
2019-01-01,Tanzania,Tanzania,1
2019-01-01,Zimbabwe,Zimbabwe,1
2020-01-01,Algeria,Algeria,4
2020-01-01,Angola,Angola,1
2020-01-01,Egypt,Egypt,16
2020-01-01,Morocco,Morocco,2
2020-01-01,Nigeria,Nigeria,16
2020-01-01,South Africa,South Africa,15
2020-01-01,Tanzania,Tanzania,1
2020-01-01,Zimbabwe,Zimbabwe,1
2021-01-01,Algeria,Algeria,4
2021-01-01,Egypt,Egypt,16
2021-01-01,Morocco,Morocco,2
2021-01-01,Nigeria,Nigeria,21
2021-01-01,South Africa,South Africa,21
2021-01-01,Tanzania,Tanzania,1
2021-01-01,Zimbabwe,Zimbabwe,1
2022-01-01,Algeria,Algeria,5
2022-01-01,Egypt,Egypt,16
2022-01-01,Morocco,Morocco,3
2022-01-01,Nigeria,Nigeria,27
2022-01-01,South Africa,South Africa,22
2022-01-01,Tanzania,Tanzania,1
2022-01-01,Zimbabwe,Zimbabwe,3
