date,name,category,value
2011-01-01,China,China,116
2011-01-01,Hong Kong,Hong Kong,36
2011-01-01,India,India,56
2011-01-01,Indonesia,Indonesia,15
2011-01-01,Israel,Israel,16
2011-01-01,Japan,Japan,24
2011-01-01,Kazakhstan,Kazakhstan,5
2011-01-01,Kuwait,Kuwait,3
2011-01-01,Lebanon,Lebanon,6
2011-01-01,Malaysia,Malaysia,9
2011-01-01,Philippines,Philippines,4
2011-01-01,Russia,Russia,97
2011-01-01,Saudi Arabia,Saudi Arabia,8
2011-01-01,Singapore,Singapore,4
2011-01-01,South Korea,South Korea,17
2011-01-01,Taiwan,Taiwan,25
2011-01-01,Thailand,Thailand,3
2011-01-01,Turkey,Turkey,38
2011-01-01,United Arab Emirates,United Arab Emirates,4
2012-01-01,China,China,95
2012-01-01,Hong Kong,Hong Kong,38
2012-01-01,India,India,48
2012-01-01,Indonesia,Indonesia,17
2012-01-01,Israel,Israel,13
2012-01-01,Japan,Japan,24
2012-01-01,Kazakhstan,Kazakhstan,3
2012-01-01,Kuwait,Kuwait,5
2012-01-01,Lebanon,Lebanon,6
2012-01-01,Malaysia,Malaysia,9
2012-01-01,Philippines,Philippines,6
2012-01-01,Russia,Russia,96
2012-01-01,Saudi Arabia,Saudi Arabia,8
2012-01-01,Singapore,Singapore,5
2012-01-01,South Korea,South Korea,20
2012-01-01,Taiwan,Taiwan,24
2012-01-01,Thailand,Thailand,5
2012-01-01,Turkey,Turkey,34
2012-01-01,United Arab Emirates,United Arab Emirates,4
2014-01-01,China,China,69
2014-01-01,Hong Kong,Hong Kong,16
2014-01-01,India,India,20
2014-01-01,Indonesia,Indonesia,7
2014-01-01,Israel,Israel,9
2014-01-01,Japan,Japan,13
2014-01-01,Kazakhstan,Kazakhstan,3
2014-01-01,Kuwait,Kuwait,2
2014-01-01,Lebanon,Lebanon,3
2014-01-01,Malaysia,Malaysia,3
2014-01-01,Philippines,Philippines,5
2014-01-01,Russia,Russia,47
2014-01-01,Saudi Arabia,Saudi Arabia,4
2014-01-01,Singapore,Singapore,6
2014-01-01,South Korea,South Korea,13
2014-01-01,Taiwan,Taiwan,15
2014-01-01,Thailand,Thailand,8
2014-01-01,Turkey,Turkey,9
2014-01-01,United Arab Emirates,United Arab Emirates,2
2014-01-01,Vietnam,Vietnam,1
2015-01-01,China,China,213
2015-01-01,Hong Kong,Hong Kong,55
2015-01-01,India,India,90
2015-01-01,Indonesia,Indonesia,23
2015-01-01,Israel,Israel,17
2015-01-01,Japan,Japan,24
2015-01-01,Kazakhstan,Kazakhstan,5
2015-01-01,Kuwait,Kuwait,5
2015-01-01,Lebanon,Lebanon,7
2015-01-01,Malaysia,Malaysia,12
2015-01-01,Nepal,Nepal,1
2015-01-01,Oman,Oman,2
2015-01-01,Philippines,Philippines,11
2015-01-01,Russia,Russia,88
2015-01-01,Saudi Arabia,Saudi Arabia,10
2015-01-01,Singapore,Singapore,19
2015-01-01,South Korea,South Korea,30
2015-01-01,Taiwan,Taiwan,33
2015-01-01,Thailand,Thailand,16
2015-01-01,Turkey,Turkey,32
2015-01-01,United Arab Emirates,United Arab Emirates,4
2015-01-01,Vietnam,Vietnam,1
2016-01-01,China,China,251
2016-01-01,Hong Kong,Hong Kong,63
