date,name,category,value
2011-01-01,China,China,193
2011-01-01,Hong Kong,Hong Kong,143
2011-01-01,India,India,231
2011-01-01,Indonesia,Indonesia,30
2011-01-01,Israel,Israel,43
2011-01-01,Japan,Japan,63
2011-01-01,Kazakhstan,Kazakhstan,10
2011-01-01,Kuwait,Kuwait,12
2011-01-01,Lebanon,Lebanon,10
2011-01-01,Malaysia,Malaysia,40
2011-01-01,Philippines,Philippines,10
2011-01-01,Russia,Russia,388
2011-01-01,Saudi Arabia,Saudi Arabia,51
2011-01-01,Singapore,Singapore,9
2011-01-01,South Korea,South Korea,38
2011-01-01,Taiwan,Taiwan,52
2011-01-01,Thailand,Thailand,15
2011-01-01,Turkey,Turkey,54
2011-01-01,United Arab Emirates,United Arab Emirates,5
2012-01-01,China,China,174
2012-01-01,Hong Kong,Hong Kong,145
2012-01-01,India,India,176
2012-01-01,Indonesia,Indonesia,36
2012-01-01,Israel,Israel,34
2012-01-01,Japan,Japan,65
2012-01-01,Kazakhstan,Kazakhstan,6
2012-01-01,Kuwait,Kuwait,5
2012-01-01,Lebanon,Lebanon,11
2012-01-01,Malaysia,Malaysia,42
2012-01-01,Philippines,Philippines,16
2012-01-01,Russia,Russia,339
2012-01-01,Saudi Arabia,Saudi Arabia,48
2012-01-01,Singapore,Singapore,9
2012-01-01,South Korea,South Korea,39
2012-01-01,Taiwan,Taiwan,51
2012-01-01,Thailand,Thailand,19
2012-01-01,Turkey,Turkey,46
2012-01-01,United Arab Emirates,United Arab Emirates,6
2014-01-01,China,China,121
2014-01-01,Hong Kong,Hong Kong,59
2014-01-01,India,India,69
2014-01-01,Indonesia,Indonesia,17
2014-01-01,Israel,Israel,26
2014-01-01,Japan,Japan,65
2014-01-01,Kazakhstan,Kazakhstan,4
2014-01-01,Kuwait,Kuwait,2
2014-01-01,Lebanon,Lebanon,8
2014-01-01,Malaysia,Malaysia,19
2014-01-01,Philippines,Philippines,14
2014-01-01,Russia,Russia,204
2014-01-01,Saudi Arabia,Saudi Arabia,27
2014-01-01,Singapore,Singapore,9
2014-01-01,South Korea,South Korea,30
2014-01-01,Taiwan,Taiwan,38
2014-01-01,Thailand,Thailand,17
2014-01-01,Turkey,Turkey,12
2014-01-01,United Arab Emirates,United Arab Emirates,6
2014-01-01,Vietnam,Vietnam,1
2015-01-01,China,China,484
2015-01-01,Hong Kong,Hong Kong,222
2015-01-01,India,India,262
2015-01-01,Indonesia,Indonesia,47
2015-01-01,Israel,Israel,48
2015-01-01,Japan,Japan,88
2015-01-01,Kazakhstan,Kazakhstan,9
2015-01-01,Kuwait,Kuwait,5
2015-01-01,Lebanon,Lebanon,12
2015-01-01,Malaysia,Malaysia,44
2015-01-01,Nepal,Nepal,1
2015-01-01,Oman,Oman,2
2015-01-01,Philippines,Philippines,46
2015-01-01,Russia,Russia,307
2015-01-01,Saudi Arabia,Saudi Arabia,47
2015-01-01,Singapore,Singapore,47
2015-01-01,South Korea,South Korea,67
2015-01-01,Taiwan,Taiwan,72
2015-01-01,Thailand,Thailand,46
2015-01-01,Turkey,Turkey,43
2015-01-01,United Arab Emirates,United Arab Emirates,18
2015-01-01,Vietnam,Vietnam,1
2016-01-01,China,China,504
2016-01-01,Hong Kong,Hong Kong,215
2016-01-01,India,India,221
2016-01-01,Indonesia,Indonesia,43
2016-01-01,Israel,Israel,42
2016-01-01,Japan,Japan,77
2016-01-01,Kazakhstan,Kazakhstan,8
2016-01-01,Lebanon,Lebanon,10
2016-01-01,Malaysia,Malaysia,36
2016-01-01,Nepal,Nepal,1
2016-01-01,Oman,Oman,1
2016-01-01,Philippines,Philippines,38
2016-01-01,Qatar,Qatar,2
2016-01-01,Russia,Russia,255
2016-01-01,Saudi Arabia,Saudi Arabia,32
2016-01-01,Singapore,Singapore,39
2016-01-01,South Korea,South Korea,64
2016-01-01,Taiwan,Taiwan,46
2016-01-01,Thailand,Thailand,38
2016-01-01,Turkey,Turkey,38
2016-01-01,United Arab Emirates,United Arab Emirates,17
2016-01-01,Vietnam,Vietnam,1
2017-01-01,China,China,697
2017-01-01,Hong Kong,Hong Kong,246
2017-01-01,India,India,284
2017-01-01,Indonesia,Indonesia,44
2017-01-01,Israel,Israel,47
2017-01-01,Japan,Japan,103
2017-01-01,Kazakhstan,Kazakhstan,9
2017-01-01,Kuwait,Kuwait,4
2017-01-01,Lebanon,Lebanon,7
2017-01-01,Macao,Macao,1
2017-01-01,Malaysia,Malaysia,41
2017-01-01,Nepal,Nepal,1
2017-01-01,Oman,Oman,6
2017-01-01,Philippines,Philippines,40
2017-01-01,Qatar,Qatar,3
2017-01-01,Russia,Russia,356
2017-01-01,Saudi Arabia,Saudi Arabia,38
2017-01-01,Singapore,Singapore,51
2017-01-01,South Korea,South Korea,78
2017-01-01,Taiwan,Taiwan,66
2017-01-01,Thailand,Thailand,55
2017-01-01,Turkey,Turkey,39
2017-01-01,United Arab Emirates,United Arab Emirates,25
2017-01-01,Vietnam,Vietnam,3
2018-01-01,China,China,983
