date,name,category,value
2011-01-01,Austria,Austria,16
2011-01-01,Belgium,Belgium,8
2011-01-01,Cyprus,Cyprus,11
2011-01-01,Czech Republic,Czech Republic,12
2011-01-01,Denmark,Denmark,8
2011-01-01,Finland,Finland,1
2011-01-01,France,France,111
2011-01-01,Germany,Germany,218
2011-01-01,Greece,Greece,6
2011-01-01,Ireland,Ireland,14
2011-01-01,Italy,Italy,56
2011-01-01,Monaco,Monaco,4
2011-01-01,Netherlands,Netherlands,15
2011-01-01,Norway,Norway,11
2011-01-01,Poland,Poland,5
2011-01-01,Portugal,Portugal,8
2011-01-01,Romania,Romania,3
2011-01-01,Spain,Spain,56
2011-01-01,Sweden,Sweden,70
2011-01-01,Switzerland,Switzerland,37
2011-01-01,Ukraine,Ukraine,30
2011-01-01,United Kingdom,United Kingdom,82
2012-01-01,Austria,Austria,19
2012-01-01,Belgium,Belgium,5
2012-01-01,Cyprus,Cyprus,12
2012-01-01,Czech Republic,Czech Republic,10
2012-01-01,Denmark,Denmark,10
2012-01-01,Finland,Finland,2
2012-01-01,France,France,117
2012-01-01,Georgia,Georgia,6
2012-01-01,Germany,Germany,229
2012-01-01,Greece,Greece,6
2012-01-01,Ireland,Ireland,19
2012-01-01,Italy,Italy,71
2012-01-01,Monaco,Monaco,4
2012-01-01,Netherlands,Netherlands,14
2012-01-01,Norway,Norway,11
2012-01-01,Poland,Poland,6
2012-01-01,Portugal,Portugal,7
2012-01-01,Romania,Romania,1
2012-01-01,Spain,Spain,65
2012-01-01,Sweden,Sweden,73
2012-01-01,Switzerland,Switzerland,35
2012-01-01,Ukraine,Ukraine,29
2012-01-01,United Kingdom,United Kingdom,87
2014-01-01,Austria,Austria,5
2014-01-01,Belgium,Belgium,5
2014-01-01,Czech Republic,Czech Republic,4
2014-01-01,Denmark,Denmark,22
2014-01-01,Finland,Finland,3
2014-01-01,France,France,114
2014-01-01,Germany,Germany,156
2014-01-01,Greece,Greece,7
2014-01-01,Guernsey,Guernsey,2
2014-01-01,Ireland,Ireland,18
2014-01-01,Italy,Italy,65
2014-01-01,Monaco,Monaco,3
2014-01-01,Netherlands,Netherlands,17
2014-01-01,Norway,Norway,13
2014-01-01,Poland,Poland,4
2014-01-01,Spain,Spain,87
2014-01-01,Sweden,Sweden,63
2014-01-01,Switzerland,Switzerland,40
2014-01-01,Ukraine,Ukraine,16
2014-01-01,United Kingdom,United Kingdom,41
2015-01-01,Austria,Austria,26
2015-01-01,Belgium,Belgium,7
2015-01-01,Cyprus,Cyprus,14
2015-01-01,Czech Republic,Czech Republic,13
2015-01-01,Denmark,Denmark,22
2015-01-01,Finland,Finland,7
2015-01-01,France,France,236
