date,name,category,value
2011-01-01,Belize,Belize,1
2011-01-01,Canada,Canada,25
2011-01-01,Mexico,Mexico,11
2011-01-01,United States,United States,411
2012-01-01,Belize,Belize,1
2012-01-01,Canada,Canada,26
2012-01-01,Mexico,Mexico,11
2012-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2012-01-01,United States,United States,424
2014-01-01,Canada,Canada,15
2014-01-01,Mexico,Mexico,7
2014-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2014-01-01,United States,United States,204
2015-01-01,Canada,Canada,39
2015-01-01,Guatemala,Guatemala,1
2015-01-01,Mexico,Mexico,16
2015-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2015-01-01,United States,United States,536
2016-01-01,Canada,Canada,34
2016-01-01,Mexico,Mexico,14
2016-01-01,United States,United States,540
2017-01-01,Canada,Canada,39
2017-01-01,Mexico,Mexico,15
2017-01-01,St. Kitts and Nevis,St. Kitts and Nevis,2
2017-01-01,United States,United States,565
2018-01-01,Canada,Canada,46
2018-01-01,Mexico,Mexico,16
2018-01-01,St. Kitts and Nevis,St. Kitts and Nevis,3
2018-01-01,United States,United States,585
2020-01-01,Canada,Canada,45
2020-01-01,Mexico,Mexico,14
2020-01-01,St. Kitts and Nevis,St. Kitts and Nevis,2
2020-01-01,United States,United States,637
2021-01-01,Canada,Canada,64
2021-01-01,Mexico,Mexico,13
2021-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2021-01-01,United States,United States,724
2022-01-01,Barbados,Barbados,1
2022-01-01,Belize,Belize,1
2022-01-01,Canada,Canada,65
2022-01-01,Mexico,Mexico,15
2022-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2022-01-01,United States,United States,735
