date,name,category,value
2011-01-01,Australia,Australia,18
2011-01-01,New Zealand,New Zealand,3
2012-01-01,Australia,Australia,18
2012-01-01,New Zealand,New Zealand,3
2014-01-01,Australia,Australia,10
2014-01-01,New Zealand,New Zealand,2
2015-01-01,Australia,Australia,27
2015-01-01,New Zealand,New Zealand,2
2016-01-01,Australia,Australia,25
2016-01-01,New Zealand,New Zealand,2
2017-01-01,Australia,Australia,33
2017-01-01,New Zealand,New Zealand,2
2018-01-01,Australia,Australia,43
2018-01-01,New Zealand,New Zealand,2
2020-01-01,Australia,Australia,39
2020-01-01,New Zealand,New Zealand,2
2021-01-01,Australia,Australia,44
2021-01-01,New Zealand,New Zealand,2
2022-01-01,Australia,Australia,46
2022-01-01,New Zealand,New Zealand,3
