date,name,category,value
2011-01-01,Argentina,Argentina,2
2011-01-01,Brazil,Brazil,31
2011-01-01,Chile,Chile,5
2011-01-01,Colombia,Colombia,2
2011-01-01,Venezuela,Venezuela,2
2012-01-01,Argentina,Argentina,4
2012-01-01,Brazil,Brazil,37
2012-01-01,Chile,Chile,5
2012-01-01,Colombia,Colombia,3
2012-01-01,Peru,Peru,2
2012-01-01,Venezuela,Venezuela,2
2014-01-01,Argentina,Argentina,3
2014-01-01,Brazil,Brazil,19
2014-01-01,Chile,Chile,6
2014-01-01,Colombia,Colombia,3
2014-01-01,Peru,Peru,1
2014-01-01,Venezuela,Venezuela,1
2015-01-01,Argentina,Argentina,5
2015-01-01,Brazil,Brazil,54
2015-01-01,Chile,Chile,12
2015-01-01,Colombia,Colombia,3
2015-01-01,Peru,Peru,6
2015-01-01,Venezuela,Venezuela,3
2016-01-01,Argentina,Argentina,4
2016-01-01,Brazil,Brazil,31
2016-01-01,Chile,Chile,10
2016-01-01,Colombia,Colombia,3
2016-01-01,Peru,Peru,3
2016-01-01,Venezuela,Venezuela,3
2017-01-01,Argentina,Argentina,7
2017-01-01,Brazil,Brazil,43
2017-01-01,Chile,Chile,12
2017-01-01,Colombia,Colombia,3
2017-01-01,Peru,Peru,5
2017-01-01,Venezuela,Venezuela,2
2018-01-01,Argentina,Argentina,9
2018-01-01,Brazil,Brazil,42
2018-01-01,Chile,Chile,11
2018-01-01,Colombia,Colombia,3
2018-01-01,Peru,Peru,6
2018-01-01,Venezuela,Venezuela,2
2020-01-01,Argentina,Argentina,4
2020-01-01,Brazil,Brazil,47
2020-01-01,Chile,Chile,8
2020-01-01,Colombia,Colombia,3
2020-01-01,Peru,Peru,4
2020-01-01,Venezuela,Venezuela,1
2021-01-01,Argentina,Argentina,5
2021-01-01,Brazil,Brazil,65
2021-01-01,Chile,Chile,9
2021-01-01,Colombia,Colombia,5
2021-01-01,Peru,Peru,6
2021-01-01,Venezuela,Venezuela,1
2022-01-01,Argentina,Argentina,6
2022-01-01,Brazil,Brazil,62
2022-01-01,Chile,Chile,7
2022-01-01,Colombia,Colombia,4
2022-01-01,Peru,Peru,3
2022-01-01,Uruguay,Uruguay,2
2022-01-01,Venezuela,Venezuela,1
