date,name,category,value
2011-01-01,Argentina,Argentina,6
2011-01-01,Brazil,Brazil,123
2011-01-01,Chile,Chile,43
2011-01-01,Colombia,Colombia,18
2011-01-01,Venezuela,Venezuela,7
2012-01-01,Argentina,Argentina,8
2012-01-01,Brazil,Brazil,137
2012-01-01,Chile,Chile,39
2012-01-01,Colombia,Colombia,22
2012-01-01,Peru,Peru,4
2012-01-01,Venezuela,Venezuela,7
2014-01-01,Argentina,Argentina,3
2014-01-01,Brazil,Brazil,63
2014-01-01,Chile,Chile,26
2014-01-01,Colombia,Colombia,27
2014-01-01,Peru,Peru,2
2014-01-01,Venezuela,Venezuela,1
2015-01-01,Argentina,Argentina,9
2015-01-01,Brazil,Brazil,164
2015-01-01,Chile,Chile,34
2015-01-01,Colombia,Colombia,18
2015-01-01,Peru,Peru,7
2015-01-01,Venezuela,Venezuela,8
2016-01-01,Argentina,Argentina,8
2016-01-01,Brazil,Brazil,120
2016-01-01,Chile,Chile,26
2016-01-01,Colombia,Colombia,12
2016-01-01,Peru,Peru,3
2016-01-01,Venezuela,Venezuela,6
2017-01-01,Argentina,Argentina,11
2017-01-01,Brazil,Brazil,153
2017-01-01,Chile,Chile,34
2017-01-01,Colombia,Colombia,16
2017-01-01,Peru,Peru,6
2017-01-01,Venezuela,Venezuela,4
2018-01-01,Argentina,Argentina,12
2018-01-01,Brazil,Brazil,163
2018-01-01,Chile,Chile,37
2018-01-01,Colombia,Colombia,17
2018-01-01,Peru,Peru,8
2018-01-01,Venezuela,Venezuela,5
2020-01-01,Argentina,Argentina,8
2020-01-01,Brazil,Brazil,133
2020-01-01,Chile,Chile,23
2020-01-01,Colombia,Colombia,13
2020-01-01,Peru,Peru,7
2020-01-01,Venezuela,Venezuela,3
2021-01-01,Argentina,Argentina,14
2021-01-01,Brazil,Brazil,181
2021-01-01,Chile,Chile,39
2021-01-01,Colombia,Colombia,24
2021-01-01,Peru,Peru,10
2021-01-01,Venezuela,Venezuela,3
2022-01-01,Argentina,Argentina,10
2022-01-01,Brazil,Brazil,160
2022-01-01,Chile,Chile,34
2022-01-01,Colombia,Colombia,22
2022-01-01,Peru,Peru,7
2022-01-01,Uruguay,Uruguay,2
2022-01-01,Venezuela,Venezuela,3
