date,name,category,value
2011-01-01,Africa,Africa,14
2011-01-01,Asia,Asia,486
2011-01-01,Europe,Europe,197
2011-01-01,North America,North America,448
2011-01-01,Oceania,Oceania,21
2011-01-01,South America,South America,42
2011-01-01,nan,nan,2
2012-01-01,Africa,Africa,16
2012-01-01,Asia,Asia,460
2012-01-01,Europe,Europe,213
2012-01-01,North America,North America,463
2012-01-01,Oceania,Oceania,21
2012-01-01,South America,South America,53
2014-01-01,Africa,Africa,14
2014-01-01,Asia,Asia,255
2014-01-01,Europe,Europe,161
2014-01-01,North America,North America,227
2014-01-01,Oceania,Oceania,12
2014-01-01,South America,South America,33
2014-01-01,nan,nan,1
2015-01-01,Africa,Africa,28
2015-01-01,Asia,Asia,698
2015-01-01,Europe,Europe,394
2015-01-01,North America,North America,593
2015-01-01,Oceania,Oceania,29
2015-01-01,South America,South America,83
2015-01-01,nan,nan,1
2016-01-01,Africa,Africa,22
2016-01-01,Asia,Asia,708
2016-01-01,Europe,Europe,412
2016-01-01,North America,North America,588
2016-01-01,Oceania,Oceania,27
2016-01-01,South America,South America,54
2016-01-01,nan,nan,1
2017-01-01,Africa,Africa,24
2017-01-01,Asia,Asia,856
2017-01-01,Europe,Europe,434
2017-01-01,North America,North America,621
2017-01-01,Oceania,Oceania,35
2017-01-01,South America,South America,72
2017-01-01,nan,nan,1
2018-01-01,Africa,Africa,20
2018-01-01,Asia,Asia,961
2018-01-01,Europe,Europe,458
2018-01-01,North America,North America,650
2018-01-01,Oceania,Oceania,45
2018-01-01,South America,South America,73
2018-01-01,nan,nan,1
2020-01-01,Africa,Africa,19
2020-01-01,Asia,Asia,946
2020-01-01,Europe,Europe,442
2020-01-01,North America,North America,698
2020-01-01,Oceania,Oceania,41
2020-01-01,South America,South America,67
2020-01-01,nan,nan,1
2021-01-01,Africa,Africa,19
2021-01-01,Asia,Asia,1285
2021-01-01,Europe,Europe,511
2021-01-01,North America,North America,802
2021-01-01,Oceania,Oceania,46
2021-01-01,South America,South America,91
2021-01-01,nan,nan,1
2022-01-01,Africa,Africa,19
2022-01-01,Asia,Asia,1184
2022-01-01,Europe,Europe,512
2022-01-01,North America,North America,818
2022-01-01,Oceania,Oceania,49
2022-01-01,South America,South America,85
2022-01-01,nan,nan,1
