country,value
Argentina,3
Australia,10
Austria,3
Belgium,2
Brazil,19
Canada,15
Chile,6
China,69
Colombia,3
Czech Republic,3
Denmark,4
Egypt,4
Eswatini,1
Finland,1
France,22
Germany,33
Greece,3
Guernsey,1
Hong Kong,16
India,20
Indonesia,7
Ireland,2
Israel,9
Italy,20
Japan,13
Kazakhstan,3
Kuwait,2
Lebanon,3
Malaysia,3
Mexico,7
Monaco,3
Morocco,2
Netherlands,4
New Zealand,2
Nigeria,3
Norway,5
Peru,1
Philippines,5
Poland,2
Russia,47
Saudi Arabia,4
Singapore,6
South Africa,5
South Korea,13
Spain,12
St. Kitts and Nevis,1
Sweden,10
Switzerland,11
Taiwan,15
Thailand,8
Turkey,9
Ukraine,4
United Arab Emirates,2
United Kingdom,16
United States,204
Venezuela,1
Vietnam,1
