date,name,category,value
2011-01-01,Carlos Slim Helu & family,North America,74
2011-01-01,Bill Gates,North America,56
2011-01-01,Warren Buffett,North America,50
2011-01-01,Bernard Arnault,Europe,41
2011-01-01,Larry Ellison,North America,39
2011-01-01,Lakshmi Mittal,Asia,31
2011-01-01,Amancio Ortega,Europe,31
2011-01-01,Eike Batista,South America,30
2011-01-01,Mukesh Ambani,Asia,27
2011-01-01,Christy Walton & family,North America,26
2011-01-01,Li Ka-shing,Asia,26
2011-01-01,Karl Albrecht,Europe,25
2011-01-01,Stefan Persson,Europe,24
2011-01-01,Vladimir Lisin,Asia,24
2011-01-01,Liliane Bettencourt,Europe,23
2011-01-01,Sheldon Adelson,North America,23
2011-01-01,David Thomson & family,North America,23
2011-01-01,Charles Koch,North America,22
2011-01-01,David Koch,North America,22
2011-01-01,Jim Walton,North America,21
2012-01-01,Carlos Slim Helu & family,North America,69
2012-01-01,Bill Gates,North America,61
2012-01-01,Warren Buffett,North America,44
2012-01-01,Bernard Arnault,Europe,41
2012-01-01,Amancio Ortega,Europe,37
2012-01-01,Larry Ellison,North America,36
2012-01-01,Eike Batista,South America,30
2012-01-01,Stefan Persson,Europe,26
2012-01-01,Li Ka-shing,Asia,25
2012-01-01,Karl Albrecht,Europe,25
2012-01-01,Christy Walton & family,North America,25
2012-01-01,Charles Koch,North America,25
2012-01-01,David Koch,North America,25
2012-01-01,Sheldon Adelson,North America,24
2012-01-01,Liliane Bettencourt,Europe,24
2012-01-01,Jim Walton,North America,23
2012-01-01,Alice Walton,North America,23
2012-01-01,S. Robson Walton,North America,23
2012-01-01,Mukesh Ambani,Asia,22
2012-01-01,Michael Bloomberg,North America,22
2014-01-01,Bill Gates,North America,76
2014-01-01,Carlos Slim Helu,North America,72
2014-01-01,Amancio Ortega,Europe,64
2014-01-01,Warren Buffett,North America,58
2014-01-01,Larry Ellison,North America,48
2014-01-01,Charles Koch,North America,40
2014-01-01,David Koch,North America,40
2014-01-01,Sheldon Adelson,North America,38
2014-01-01,Christy Walton,North America,36
2014-01-01,Jim Walton,North America,34
2014-01-01,Stefan Persson,Europe,34
2014-01-01,Alice Walton,North America,34
2014-01-01,S. Robson Walton,North America,34
2014-01-01,Bernard Arnault,Europe,33
2014-01-01,Mark Zuckerberg,North America,28
2014-01-01,Aliko Dangote,Africa,25
2014-01-01,Carl Icahn,North America,24
2014-01-01,George Soros,North America,23
2014-01-01,David Thomson,North America,22
2014-01-01,Lui Che Woo,Asia,22
2015-01-01,Bill Gates,North America,79
2015-01-01,Carlos Slim Helu,North America,77
2015-01-01,Warren Buffett,North America,72
2015-01-01,Amancio Ortega,Europe,64
2015-01-01,Larry Ellison,North America,54
2015-01-01,Charles Koch,North America,42
2015-01-01,David Koch,North America,42
2015-01-01,Christy Walton,North America,41
2015-01-01,Jim Walton,North America,40
2015-01-01,Liliane Bettencourt,Europe,40
2015-01-01,Alice Walton,North America,39
2015-01-01,S. Robson Walton,North America,39
2015-01-01,Bernard Arnault,Europe,37
2015-01-01,Michael Bloomberg,North America,35
2015-01-01,Jeff Bezos,North America,34
2015-01-01,Mark Zuckerberg,North America,33
2015-01-01,Li Ka-shing,Asia,33
2015-01-01,Sheldon Adelson,North America,31
2015-01-01,Larry Page,North America,29
2015-01-01,Sergey Brin,North America,29
2016-01-01,Bill Gates,North America,75
2016-01-01,Amancio Ortega,Europe,67
2016-01-01,Warren Buffett,North America,60
2016-01-01,Carlos Slim Helu,North America,50
2016-01-01,Jeff Bezos,North America,45
