date,name,category,value
2011-01-01,telecom,telecom,22
2011-01-01,Microsoft,Microsoft,3
2011-01-01,Berkshire Hathaway,Berkshire Hathaway,2
2011-01-01,LVMH,LVMH,1
2011-01-01,Oracle,Oracle,1
2011-01-01,Steel,Steel,13
2011-01-01,Zara,Zara,2
2011-01-01,mining,mining,13
2011-01-01,oil,oil,26
2011-01-01,petrochemicals,petrochemicals,5
2011-01-01,oil &amp; gas,oil &amp; gas,9
2011-01-01,Walmart,Walmart,5
2011-01-01,Diversified,Diversified,66
2011-01-01,Aldi,Aldi,2
2011-01-01,H&amp;M;,H&amp;M;,2
2011-01-01,L`Oreal,L`Oreal,1
2011-01-01,casinos,casinos,7
2011-01-01,media,media,18
2011-01-01,real estate,real estate,113
2011-01-01,Google,Google,6
2011-01-01,Investments,Investments,58
2011-01-01,Mining,Mining,10
2011-01-01,Bloomberg,Bloomberg,2
2011-01-01,Amazon,Amazon,1
2011-01-01,chocolates,chocolates,1
2011-01-01,nonferrous metals,nonferrous metals,1
2011-01-01,steel,steel,6
2011-01-01,stocks,stocks,1
2011-01-01,Software,Software,12
2011-01-01,aluminum,aluminum,2
2011-01-01,Retail,Retail,60
2011-01-01,coal mines,coal mines,1
2011-01-01,hedge funds,hedge funds,30
2011-01-01,banking,banking,55
2011-01-01,Dell,Dell,1
2011-01-01,BMW,BMW,3
2011-01-01,pharmaceuticals,pharmaceuticals,33
2011-01-01,Trader Joes,Trader Joes,1
2011-01-01,packaging,packaging,2
2011-01-01,Lukoil,Lukoil,2
2011-01-01,sugar,sugar,2
2011-01-01,flour,flour,1
2011-01-01,cement ,cement ,1
2011-01-01,Facebook,Facebook,5
2011-01-01,Cox Enterprises,Cox Enterprises,3
2011-01-01,investments,investments,38
2011-01-01,beer,beer,5
2011-01-01,metals,metals,13
2011-01-01,Nike,Nike,1
2011-01-01,leveraged buyouts,leveraged buyouts,14
2011-01-01,Fidelity,Fidelity,2
2011-01-01,eyewear,eyewear,1
2011-01-01,shipping,shipping,7
2011-01-01,paper ,paper ,2
2011-01-01,construction,construction,24
2011-01-01,Access Industries,Access Industries,1
2011-01-01,biotech,biotech,2
2011-01-01,candy,candy,5
2011-01-01,pet food,pet food,3
2011-01-01,commodities,commodities,3
2011-01-01,infrastructure,infrastructure,2
2011-01-01,machinery,machinery,1
2011-01-01,ball bearings,ball bearings,1
2011-01-01,fertilizer,fertilizer,3
2011-01-01,Internet,Internet,5
2011-01-01,aviation,aviation,1
2011-01-01,insurance,insurance,12
2011-01-01,Natural gas,Natural gas,3
2011-01-01,Samsung,Samsung,3
2011-01-01,coal,coal,3
2011-01-01,fertilizers,fertilizers,5
2011-01-01,Continental Resources,Continental Resources,1
2011-01-01,diversified,diversified,2
2011-01-01,Apple,Apple,1
2011-01-01,Pixar,Pixar,1
2011-01-01,retail,retail,9
2011-01-01,financing,financing,1
2011-01-01,Softbank,Softbank,1
2011-01-01,Manufacturing,Manufacturing,13
2011-01-01,News Corp,News Corp,1
2011-01-01,Heineken,Heineken,1
2011-01-01,Enterprise Rent-A-Car,Enterprise Rent-A-Car,1
2011-01-01,pipelines,pipelines,7
2011-01-01,De Beers,De Beers,1
2011-01-01,EchoStar,EchoStar,1
2011-01-01,fashion,fashion,1
2011-01-01,hotels,hotels,22
2011-01-01,SAP,SAP,3
2011-01-01,SAS Institute,SAS Institute,2
2011-01-01,electronics,electronics,11
2011-01-01,Ebay,Ebay,3
2011-01-01,drugs,drugs,1
2011-01-01,publishing,publishing,9
2011-01-01,bank,bank,2
2011-01-01,medical devices,medical devices,4
2011-01-01,finance,finance,23
2011-01-01,Mango,Mango,1
2011-01-01,Chanel,Chanel,1
2011-01-01,Ikea,Ikea,1
2011-01-01,Estee Lauder,Estee Lauder,2
2011-01-01,advertising,advertising,1
2011-01-01,Hyundai,Hyundai,2
2011-01-01,diamonds,diamonds,2
2011-01-01,Beverages,Beverages,5
2011-01-01,gaming,gaming,6
2011-01-01,Carnival Cruises,Carnival Cruises,2
2011-01-01,fashion and retail,fashion and retail,1
2011-01-01,online retailing,online retailing,1
2011-01-01,Information technology,Information technology,2
2011-01-01,Appliances,Appliances,2
2011-01-01,oil trading,oil trading,2
2011-01-01,Shipbuilding,Shipbuilding,2
2011-01-01,supermarkets,supermarkets,5
2011-01-01,food,food,8
2011-01-01,generic drugs,generic drugs,1
2011-01-01,Franklin Resources,Franklin Resources,2
2011-01-01,movies,movies,2
2011-01-01,music,music,1
2011-01-01,cork,cork,1
2011-01-01,Bridas,Bridas,1
2011-01-01,tobacco,tobacco,3
2011-01-01,private equity,private equity,3
2011-01-01,Red Bull,Red Bull,2
2011-01-01,palm oil,palm oil,3
2011-01-01,cement,cement,3
2011-01-01,luxury goods,luxury goods,1
2011-01-01,Lego,Lego,1
2011-01-01,discount stock brokerage,discount stock brokerage,1
2011-01-01,Cargill Inc.,Cargill Inc.,8
2011-01-01,Nintendo,Nintendo,1
2011-01-01,shoes,shoes,5
2011-01-01,agribusiness,agribusiness,3
2011-01-01,cable television,cable television,4
2011-01-01,Apparel,Apparel,3
2011-01-01,malls,malls,1
2011-01-01,Oil,Oil,2
2011-01-01,transportation,transportation,4
2011-01-01,Formula One,Formula One,1
2011-01-01,Virgin,Virgin,1
2011-01-01,Alticor,Alticor,1
2011-01-01,hair products,hair products,1
2011-01-01,tequila,tequila,1
2011-01-01,fasteners,fasteners,1
2011-01-01,healthcare,healthcare,4
2011-01-01,Intel,Intel,1
2011-01-01,New Regency,New Regency,1
2011-01-01,tools,tools,1
2011-01-01,temp agency,temp agency,2
2011-01-01,chemicals,chemicals,10
2011-01-01,sensors,sensors,1
2011-01-01,Viacom,Viacom,1
2011-01-01,coffee,coffee,4
2011-01-01,internet,internet,1
2011-01-01,HCA Healthcare,HCA Healthcare,1
2011-01-01,Coal,Coal,18
2011-01-01,Danaher Corp,Danaher Corp,2
2011-01-01,Dolby Laboratories,Dolby Laboratories,1
2011-01-01,construction materials,construction materials,2
2011-01-01,plastics,plastics,1
2011-01-01,bakeries,bakeries,1
2011-01-01,computer services,computer services,2
2011-01-01,television,television,2
2011-01-01,dairy,dairy,1
2011-01-01,Cablevision Systems,Cablevision Systems,1
2011-01-01,steel pipes,steel pipes,3
2011-01-01,Limited Brands,Limited Brands,1
2011-01-01,Star Wars,Star Wars,1
2011-01-01,heavy industry,heavy industry,1
2011-01-01,resorts,resorts,1
2011-01-01,shopping malls,shopping malls,1
2011-01-01,wind energy,wind energy,1
2011-01-01,golf courses,golf courses,1
2011-01-01,Dole,Dole,1
2011-01-01,Oakley,Oakley,1
2011-01-01,Red Digital ,Red Digital ,1
2011-01-01,Cosmetics,Cosmetics,5
2011-01-01,Discount Tire,Discount Tire,1
2011-01-01,East Resources,East Resources,1
2011-01-01,art,art,4
2011-01-01,travel,travel,2
2011-01-01,engineering,engineering,3
2011-01-01,flavorings,flavorings,1
2011-01-01,oil transportation,oil transportation,1
2011-01-01,food manufacturing,food manufacturing,3
2011-01-01,Wal-Mart,Wal-Mart,2
2011-01-01,Loews,Loews,2
2011-01-01,International Lease Finance,International Lease Finance,1
2011-01-01,Mitchell Energy,Mitchell Energy,1
2011-01-01,gaming machines,gaming machines,1
2011-01-01,IDG,IDG,1
2011-01-01,bank and media,bank and media,3
2011-01-01,vacuums,vacuums,1
2011-01-01,Stryker Corp.,Stryker Corp.,3
2011-01-01,Hobby Lobby,Hobby Lobby,1
2011-01-01,cheese,cheese,1
2011-01-01,computer memory,computer memory,2
2011-01-01,security,security,1
2011-01-01,sports,sports,2
2011-01-01,sports teams,sports teams,1
2011-01-01,Cirque du Soleil,Cirque du Soleil,1
2011-01-01,Stephens Inc.,Stephens Inc.,1
2011-01-01,diamond jewelry,diamond jewelry,1
2011-01-01,Best Buy,Best Buy,1
2011-01-01,ethanol,ethanol,1
2011-01-01,trucking,trucking,1
2011-01-01,timberland,timberland,1
2011-01-01,lumber mills,lumber mills,1
2011-01-01,Broadcast.com,Broadcast.com,2
2011-01-01,art collection,art collection,2
2011-01-01,logistics,logistics,3
2011-01-01,Ingram Industries,Ingram Industries,1
2011-01-01,Benetton,Benetton,3
2011-01-01,Cargill,Cargill,2
2011-01-01,Inc.,Inc.,2
2011-01-01,record label,record label,1
2011-01-01,energy,energy,2
2011-01-01,Gap,Gap,2
2011-01-01,Campbell Soup,Campbell Soup,4
2011-01-01,food retailing,food retailing,1
2011-01-01,brakes,brakes,1
2011-01-01,tires,tires,1
2011-01-01,printing,printing,1
2011-01-01,Univision,Univision,1
2011-01-01,venture capital,venture capital,3
2011-01-01,Syntel,Syntel,1
2011-01-01,mapping software,mapping software,1
2011-01-01,refineries,refineries,1
2011-01-01,ABC Supply,ABC Supply,1
2011-01-01,social networking,social networking,1
2011-01-01,Forever 21,Forever 21,1
2011-01-01,seafood,seafood,1
2011-01-01,FedEx,FedEx,1
2011-01-01,sports concessions,sports concessions,1
2011-01-01,chewing gum,chewing gum,1
2011-01-01,Bonds,Bonds,1
2011-01-01,Royal Caribbean,Royal Caribbean,1
2011-01-01,Salesforce.com,Salesforce.com,1
2011-01-01,Oil Services,Oil Services,1
2011-01-01,polyester,polyester,1
2011-01-01,liquor,liquor,2
2011-01-01,Caterpillar,Caterpillar,1
2011-01-01,tortillas,tortillas,1
2011-01-01,FlightSafety,FlightSafety,1
2011-01-01,Dallas Cowboys,Dallas Cowboys,1
2011-01-01,plumbing fixtures,plumbing fixtures,1
2011-01-01,Broadcom,Broadcom,2
2011-01-01,Getty Oil,Getty Oil,1
2011-01-01,pharmacies,pharmacies,2
2011-01-01,TV,TV,2
2011-01-01,SC Johnson &amp; Sons,SC Johnson &amp; Sons,5
2011-01-01,Rich Products Corporation,Rich Products Corporation,1
2011-01-01,online gaming,online gaming,2
2011-01-01,exploration,exploration,1
2011-01-01,paper,paper,1
2011-01-01,telcom,telcom,1
2011-01-01,Swatch,Swatch,1
2011-01-01,airport,airport,3
2011-01-01,automotive,automotive,1
2011-01-01,metal processors,metal processors,1
2011-01-01,micro motors,micro motors,1
2011-01-01,Home Depot,Home Depot,2
2011-01-01,shopping centers,shopping centers,1
2011-01-01,DirecTV,DirecTV,1
2011-01-01,mobile phones,mobile phones,1
2011-01-01,Heating Equipment,Heating Equipment,2
2011-01-01,Research in Motion,Research in Motion,2
2011-01-01,IT,IT,2
2011-01-01,sports retailing,sports retailing,1
2011-01-01,Alliance Holdings,Alliance Holdings,1
2011-01-01,Lululemon,Lululemon,1
2011-01-01,elevators,elevators,1
2011-01-01,escalators,escalators,1
2011-01-01,Reyes Holdings,Reyes Holdings,2
2011-01-01,billboards,billboards,2
2011-01-01,Hearst Corp,Hearst Corp,5
2011-01-01,Public Storage,Public Storage,2
2011-01-01,Subway,Subway,2
2011-01-01,New Balance,New Balance,1
2011-01-01,Chick-fil-A,Chick-fil-A,1
2011-01-01,communications,communications,1
2011-01-01,tobacco distribution,tobacco distribution,1
2011-01-01,Marvel,Marvel,1
2011-01-01,Consumer Products,Consumer Products,2
2011-01-01,Auto parts,Auto parts,1
2011-01-01,pizza,pizza,1
2011-01-01,McCaw Cellular,McCaw Cellular,1
2011-01-01,Iams,Iams,1
2011-01-01,Siebel Systems,Siebel Systems,1
2011-01-01,navigation equipment,navigation equipment,2
2011-01-01,money management,money management,4
2011-01-01,port,port,2
2011-01-01,auto Distribution,auto Distribution,3
2011-01-01,Petrofac,Petrofac,1
2011-01-01,transport,transport,1
2011-01-01,motorcycles,motorcycles,2
2011-01-01,Carlson Cos.,Carlson Cos.,1
2011-01-01,Carlson Cos,Carlson Cos,1
2011-01-01,Qualcomm,Qualcomm,1
2011-01-01,microchips,microchips,1
