date,name,category,value
2011-01-01,telecom,telecom,177
2011-01-01,Microsoft,Microsoft,83
2011-01-01,Berkshire Hathaway,Berkshire Hathaway,51
2011-01-01,LVMH,LVMH,41
2011-01-01,Oracle,Oracle,39
2011-01-01,Steel,Steel,118
2011-01-01,Zara,Zara,35
2011-01-01,mining,mining,79
2011-01-01,oil,oil,124
2011-01-01,petrochemicals,petrochemicals,33
2011-01-01,oil &amp; gas,oil &amp; gas,49
2011-01-01,Walmart,Walmart,92
2011-01-01,Diversified,Diversified,220
2011-01-01,Aldi,Aldi,39
2011-01-01,H&amp;M;,H&amp;M;,27
2011-01-01,L`Oreal,L`Oreal,23
2011-01-01,casinos,casinos,34
2011-01-01,media,media,73
2011-01-01,real estate,real estate,305
2011-01-01,Google,Google,49
2011-01-01,Investments,Investments,168
2011-01-01,Mining,Mining,73
2011-01-01,Bloomberg,Bloomberg,19
2011-01-01,Amazon,Amazon,18
2011-01-01,chocolates,chocolates,18
2011-01-01,nonferrous metals,nonferrous metals,17
2011-01-01,steel,steel,57
2011-01-01,stocks,stocks,17
2011-01-01,Software,Software,31
2011-01-01,aluminum,aluminum,17
2011-01-01,Retail,Retail,175
2011-01-01,coal mines,coal mines,16
2011-01-01,hedge funds,hedge funds,106
2011-01-01,banking,banking,176
2011-01-01,Dell,Dell,14
2011-01-01,BMW,BMW,33
2011-01-01,pharmaceuticals,pharmaceuticals,68
2011-01-01,Trader Joes,Trader Joes,14
2011-01-01,packaging,packaging,24
2011-01-01,Lukoil,Lukoil,20
2011-01-01,sugar,sugar,15
2011-01-01,flour,flour,13
2011-01-01,cement ,cement ,13
2011-01-01,Facebook,Facebook,18
2011-01-01,Cox Enterprises,Cox Enterprises,25
2011-01-01,investments,investments,93
2011-01-01,beer,beer,34
2011-01-01,metals,metals,49
2011-01-01,Nike,Nike,12
2011-01-01,leveraged buyouts,leveraged buyouts,44
2011-01-01,Fidelity,Fidelity,18
2011-01-01,eyewear,eyewear,11
2011-01-01,shipping,shipping,39
2011-01-01,paper ,paper ,11
2011-01-01,construction,construction,59
2011-01-01,Access Industries,Access Industries,10
2011-01-01,biotech,biotech,12
2011-01-01,candy,candy,35
2011-01-01,pet food,pet food,30
2011-01-01,commodities,commodities,20
2011-01-01,infrastructure,infrastructure,12
2011-01-01,machinery,machinery,9
2011-01-01,ball bearings,ball bearings,9
2011-01-01,fertilizer,fertilizer,11
2011-01-01,Internet,Internet,19
2011-01-01,aviation,aviation,9
2011-01-01,insurance,insurance,23
