date,name,category,value
2011-01-01,Belize,Belize,1
2011-01-01,Canada,Canada,77
2011-01-01,Mexico,Mexico,123
2011-01-01,United States,United States,1368
2012-01-01,Belize,Belize,1
2012-01-01,Canada,Canada,71
2012-01-01,Mexico,Mexico,127
2012-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2012-01-01,United States,United States,1474
2013-01-01,Belize,Belize,1
2013-01-01,Canada,Canada,71
2013-01-01,Mexico,Mexico,127
2013-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2013-01-01,United States,United States,1474
2014-01-01,Canada,Canada,54
2014-01-01,Mexico,Mexico,100
2014-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2014-01-01,United States,United States,1066
2015-01-01,Canada,Canada,116
2015-01-01,Guatemala,Guatemala,1
2015-01-01,Mexico,Mexico,138
2015-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2015-01-01,United States,United States,2348
2016-01-01,Canada,Canada,100
2016-01-01,Mexico,Mexico,95
2016-01-01,United States,United States,2189
2017-01-01,Canada,Canada,117
2017-01-01,Mexico,Mexico,110
2017-01-01,St. Kitts and Nevis,St. Kitts and Nevis,4
2017-01-01,United States,United States,2532
2018-01-01,Canada,Canada,130
2018-01-01,Mexico,Mexico,134
2018-01-01,St. Kitts and Nevis,St. Kitts and Nevis,3
2018-01-01,United States,United States,2859
2019-01-01,Canada,Canada,130
2019-01-01,Mexico,Mexico,134
2019-01-01,St. Kitts and Nevis,St. Kitts and Nevis,3
2019-01-01,United States,United States,2859
2020-01-01,Canada,Canada,150
2020-01-01,Mexico,Mexico,110
2020-01-01,St. Kitts and Nevis,St. Kitts and Nevis,2
2020-01-01,United States,United States,3234
2021-01-01,Canada,Canada,203
2021-01-01,Mexico,Mexico,130
2021-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2021-01-01,United States,United States,4100
2022-01-01,Barbados,Barbados,1
2022-01-01,Belize,Belize,3
2022-01-01,Canada,Canada,288
2022-01-01,Mexico,Mexico,154
2022-01-01,St. Kitts and Nevis,St. Kitts and Nevis,1
2022-01-01,United States,United States,4393
