date,name,category,value
2011-01-01,Africa,Africa,46
2011-01-01,Asia,Asia,1397
2011-01-01,Europe,Europe,782
2011-01-01,North America,North America,1569
2011-01-01,Oceania,Oceania,54
2011-01-01,South America,South America,197
2011-01-01,nan,nan,2
2012-01-01,Africa,Africa,50
2012-01-01,Asia,Asia,1267
2012-01-01,Europe,Europe,838
2012-01-01,North America,North America,1674
2012-01-01,Oceania,Oceania,70
2012-01-01,South America,South America,217
2013-01-01,Africa,Africa,50
2013-01-01,Asia,Asia,1267
2013-01-01,Europe,Europe,838
2013-01-01,North America,North America,1674
2013-01-01,Oceania,Oceania,70
2013-01-01,South America,South America,217
2014-01-01,Africa,Africa,63
2014-01-01,Asia,Asia,748
2014-01-01,Europe,Europe,685
2014-01-01,North America,North America,1221
2014-01-01,Oceania,Oceania,28
2014-01-01,South America,South America,122
2014-01-01,nan,nan,3
2015-01-01,Africa,Africa,82
2015-01-01,Asia,Asia,1918
2015-01-01,Europe,Europe,1420
2015-01-01,North America,North America,2604
2015-01-01,Oceania,Oceania,69
2015-01-01,South America,South America,240
2015-01-01,nan,nan,3
2016-01-01,Africa,Africa,67
2016-01-01,Asia,Asia,1728
2016-01-01,Europe,Europe,1386
2016-01-01,North America,North America,2384
2016-01-01,Oceania,Oceania,59
2016-01-01,South America,South America,175
2016-01-01,nan,nan,3
2017-01-01,Africa,Africa,66
2017-01-01,Asia,Asia,2244
2017-01-01,Europe,Europe,1490
2017-01-01,North America,North America,2763
2017-01-01,Oceania,Oceania,89
2017-01-01,South America,South America,224
2017-01-01,nan,nan,3
2018-01-01,Africa,Africa,65
2018-01-01,Asia,Asia,2833
2018-01-01,Europe,Europe,1799
2018-01-01,North America,North America,3126
2018-01-01,Oceania,Oceania,115
2018-01-01,South America,South America,242
2018-01-01,nan,nan,4
2019-01-01,Africa,Africa,65
2019-01-01,Asia,Asia,2833
2019-01-01,Europe,Europe,1799
2019-01-01,North America,North America,3126
2019-01-01,Oceania,Oceania,115
2019-01-01,South America,South America,242
2019-01-01,nan,nan,4
2020-01-01,Africa,Africa,56
2020-01-01,Asia,Asia,3037
2020-01-01,Europe,Europe,1843
2020-01-01,North America,North America,3496
2020-01-01,Oceania,Oceania,134
2020-01-01,South America,South America,187
2020-01-01,nan,nan,4
2021-01-01,Africa,Africa,66
2021-01-01,Asia,Asia,4761
2021-01-01,Europe,Europe,2239
2021-01-01,North America,North America,4434
2021-01-01,Oceania,Oceania,174
2021-01-01,South America,South America,271
2021-01-01,nan,nan,4
2022-01-01,Africa,Africa,77
2022-01-01,Asia,Asia,3993
2022-01-01,Europe,Europe,2250
2022-01-01,North America,North America,4840
2022-01-01,Oceania,Oceania,204
2022-01-01,South America,South America,238
2022-01-01,nan,nan,5
